,ID,Year_Birth,Age,Generation,Education,Marital_Status,Income,Income_Category,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Avg_Spending_per_Visits,Total_Transaction,NumWebVisitsMonth,Web_Visit_to_Purchase_Ratio,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,TotalAcceptedCmp,Complain,Response,Total_Spending,YearMonth,Year,Churn
0,5524,1957,59,Baby Boomers,Graduation,Single,58138.0,Middle Income,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,64.68,25,7,1.1428571426938776,0,0,0,0,0,0,0,1,1617,2012-09,2012,0
1,2174,1954,62,Baby Boomers,Graduation,Single,46344.0,Middle Income,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,4.5,6,5,0.19999999996,0,0,0,0,0,0,0,0,27,2014-03,2014,1
2,4141,1965,51,Gen X,Graduation,Together,71613.0,Upper Middle Income,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,36.95238095238095,21,4,1.9999999995,0,0,0,0,0,0,0,0,776,2013-08,2013,0
3,6182,1984,32,Gen Y,Graduation,Together,26646.0,Low Income,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6.625,8,6,0.33333333327777775,0,0,0,0,0,0,0,0,53,2014-02,2014,1
4,5324,1981,35,Gen Y,Doctorate,Married,58293.0,Middle Income,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,22.210526315789473,19,5,0.9999999998,0,0,0,0,0,0,0,0,422,2014-01,2014,0
5,7446,1967,49,Gen X,Master,Together,62513.0,Upper Middle Income,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,32.54545454545455,22,6,0.9999999998333333,0,0,0,0,0,0,0,0,716,2013-09,2013,0
6,965,1971,45,Gen X,Graduation,Divorced,55635.0,Middle Income,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,28.095238095238095,21,6,1.1666666664722223,0,0,0,0,0,0,0,0,590,2012-11,2012,0
7,6177,1985,31,Gen Y,Doctorate,Married,33454.0,Middle Income,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,16.9,10,8,0.4999999999375,0,0,0,0,0,0,0,0,169,2013-05,2013,1
8,4855,1974,42,Gen X,Doctorate,Together,30351.0,Middle Income,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,7.666666666666667,6,9,0.3333333332962963,0,0,0,0,0,0,0,1,46,2013-06,2013,1
9,5899,1950,66,Baby Boomers,Doctorate,Together,5648.0,Low Income,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,24.5,2,20,0.0499999999975,0,0,1,0,0,1,0,0,49,2014-03,2014,1
10,387,1976,40,Gen X,High School,Married,7500.0,Low Income,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,10.166666666666666,6,8,0.24999999996875,0,0,0,0,0,0,0,0,61,2012-11,2012,0
11,2125,1959,57,Baby Boomers,Graduation,Divorced,63033.0,Upper Middle Income,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,68.875,16,2,1.49999999925,0,0,0,0,0,0,0,0,1102,2013-11,2013,0
12,8180,1952,64,Baby Boomers,Master,Divorced,59354.0,Middle Income,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,20.666666666666668,15,6,0.9999999998333333,0,0,0,0,0,0,0,0,310,2013-11,2013,1
13,2569,1987,29,Gen Y,Graduation,Married,17323.0,Low Income,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,9.2,5,8,0.124999999984375,0,0,0,0,0,0,0,0,46,2012-10,2012,0
14,2114,1946,70,Baby Boomers,Doctorate,Single,82800.0,Upper Middle Income,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,50.57692307692308,26,3,2.3333333325555556,1,0,0,0,1,2,0,1,1315,2012-11,2012,0
15,9736,1980,36,Gen X,Graduation,Married,41850.0,Middle Income,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,10.666666666666666,9,8,0.374999999953125,0,0,0,0,0,0,0,0,96,2012-12,2012,0
16,4939,1946,70,Baby Boomers,Graduation,Together,37760.0,Middle Income,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,24.384615384615383,13,7,0.5714285713469388,0,0,0,0,0,0,0,0,317,2012-08,2012,0
17,6565,1949,67,Baby Boomers,Master,Married,76995.0,Upper Middle Income,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,68.53846153846153,26,5,2.19999999956,1,0,0,0,0,1,0,0,1782,2013-03,2013,0
18,2278,1985,31,Gen Y,Master,Single,33812.0,Middle Income,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,16.625,8,6,0.33333333327777775,0,0,0,0,0,0,0,0,133,2012-11,2012,0
19,9360,1982,34,Gen Y,Graduation,Married,37040.0,Middle Income,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,26.333333333333332,12,8,0.4999999999375,0,0,0,0,0,0,0,0,316,2012-08,2012,0
20,5376,1979,37,Gen X,Graduation,Married,2447.0,Low Income,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,40.23255813953488,43,1,0.0,0,0,0,0,0,0,0,0,1730,2013-01,2013,0
21,1993,1949,67,Baby Boomers,Doctorate,Married,58607.0,Middle Income,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,57.1764705882353,17,8,0.24999999996875,0,0,0,1,0,1,0,0,972,2012-12,2012,0
22,4047,1954,62,Baby Boomers,Doctorate,Married,65324.0,Upper Middle Income,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,27.2,20,4,1.499999999625,0,0,0,0,0,0,0,0,544,2014-01,2014,0
23,1409,1951,65,Baby Boomers,Graduation,Together,40689.0,Middle Income,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,22.2,20,8,0.874999999890625,0,0,0,0,0,0,0,0,444,2013-03,2013,0
24,7892,1969,47,Gen X,Graduation,Single,18589.0,Low Income,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,9.375,8,7,0.2857142856734694,0,0,0,0,0,0,0,0,75,2013-01,2013,1
25,2404,1976,40,Gen X,Graduation,Married,53359.0,Middle Income,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,18.357142857142858,14,7,0.7142857141836735,0,0,0,0,0,0,0,0,257,2013-05,2013,1
26,9422,1989,27,Gen Y,Graduation,Married,38360.0,Middle Income,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,14.555555555555555,9,3,0.6666666664444444,0,0,0,0,0,0,0,0,131,2013-05,2013,1
27,1966,1965,51,Gen X,Doctorate,Married,84618.0,Upper Middle Income,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,64.3076923076923,26,2,2.9999999985,0,0,0,0,1,1,0,0,1672,2013-11,2013,0
28,6864,1989,27,Gen Y,Master,Divorced,10979.0,Low Income,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,3.75,8,5,0.59999999988,0,0,0,0,0,0,0,0,30,2014-05,2014,1
29,3033,1963,53,Baby Boomers,Master,Together,38620.0,Middle Income,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,28.90909090909091,11,3,0.6666666664444444,0,0,0,0,0,0,0,0,318,2013-05,2013,1
30,5710,1970,46,Gen X,Graduation,Together,40548.0,Middle Income,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,13.333333333333334,9,5,0.39999999992,0,0,0,1,0,1,0,0,120,2012-10,2012,0
31,7373,1952,64,Baby Boomers,Doctorate,Divorced,46610.0,Middle Income,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,17.764705882352942,17,6,0.6666666665555555,0,0,0,0,0,0,0,1,302,2012-10,2012,0
32,8755,1946,70,Baby Boomers,Master,Married,68657.0,Upper Middle Income,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,66.44444444444444,18,7,0.4285714285102041,0,0,0,0,0,0,0,0,1196,2013-02,2013,0
33,10738,1951,65,Baby Boomers,Master,Single,49389.0,Middle Income,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,10.833333333333334,6,7,0.2857142856734694,0,0,0,0,0,0,0,0,65,2013-08,2013,1
34,4339,1970,46,Gen X,Doctorate,Married,67353.0,Upper Middle Income,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,32.607142857142854,28,2,2.49999999875,0,0,0,0,0,0,0,0,913,2013-12,2013,0
35,10755,1976,40,Gen X,Master,Married,23718.0,Low Income,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,9.0,9,7,0.4285714285102041,0,0,0,0,0,0,0,0,81,2013-09,2013,1
36,8595,1973,43,Gen X,Graduation,Widow,42429.0,Middle Income,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,9.571428571428571,7,5,0.19999999996,0,0,0,0,0,0,0,0,67,2014-02,2014,1
37,2968,1943,73,Silent,Doctorate,Divorced,48948.0,Middle Income,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,37.583333333333336,24,6,1.1666666664722223,0,0,1,0,0,1,0,1,902,2013-02,2013,0
38,8601,1980,36,Gen X,Graduation,Married,80011.0,Upper Middle Income,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,66.42857142857143,21,4,1.9999999995,0,0,0,0,0,0,0,0,1395,2013-04,2013,0
39,503,1985,31,Gen Y,Master,Married,20559.0,Low Income,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,7.571428571428571,7,8,0.24999999996875,0,0,0,0,0,0,0,0,53,2013-03,2013,1
40,8430,1957,59,Baby Boomers,Graduation,Together,21994.0,Low Income,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5.5,4,5,0.0,0,0,0,0,0,0,0,0,22,2012-12,2012,0
41,2139,1975,41,Gen X,Master,Married,7500.0,Low Income,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,3.875,8,5,0.39999999992,0,0,0,0,0,0,0,0,31,2013-10,2013,1
42,1371,1976,40,Gen X,Graduation,Single,79941.0,Upper Middle Income,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,61.5,16,1,1.9999999979999998,0,0,0,0,0,0,0,0,984,2014-06,2014,0
43,9909,1996,20,Gen Y,Master,Married,7500.0,Low Income,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,12.2,10,9,0.3333333332962963,0,0,0,0,0,0,0,1,122,2012-11,2012,0
44,7286,1968,48,Gen X,Graduation,Together,41728.0,Middle Income,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,11.0,5,10,0.19999999998,0,0,0,0,0,0,0,0,55,2013-05,2013,1
45,6566,1954,62,Baby Boomers,Doctorate,Married,72550.0,Upper Middle Income,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,47.107142857142854,28,8,0.624999999921875,0,0,0,0,0,0,0,0,1319,2012-11,2012,0
46,8614,1957,59,Baby Boomers,Graduation,Widow,65486.0,Upper Middle Income,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,29.823529411764707,17,2,1.999999999,0,0,0,0,0,0,0,0,507,2014-05,2014,0
47,4114,1964,52,Baby Boomers,Master,Married,79143.0,Upper Middle Income,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,58.37931034482759,29,3,1.9999999993333333,0,0,0,0,0,0,0,0,1693,2012-08,2012,0
48,1331,1977,39,Gen X,Graduation,Single,35790.0,Middle Income,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,10.285714285714286,7,7,0.2857142856734694,0,0,0,0,0,0,0,0,72,2013-01,2013,1
49,2225,1977,39,Gen X,Graduation,Divorced,82582.0,Upper Middle Income,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,77.0,21,1,3.9999999959999997,1,0,1,0,0,2,0,1,1617,2014-06,2014,0
50,9381,1978,38,Gen X,Graduation,Married,66373.0,Upper Middle Income,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,26.347826086956523,23,3,1.3333333328888888,0,0,0,0,0,0,0,0,606,2013-06,2013,0
51,6260,1955,61,Baby Boomers,Master,Together,82384.0,Upper Middle Income,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,72.48148148148148,27,1,2.9999999969999998,0,0,0,0,1,1,0,1,1957,2012-11,2012,0
52,10383,1966,50,Gen X,Graduation,Divorced,70287.0,Upper Middle Income,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,52.04761904761905,21,3,1.6666666661111111,0,0,0,0,0,0,0,1,1093,2013-04,2013,0
53,7437,1988,28,Gen Y,Graduation,Single,27938.0,Low Income,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,4.833333333333333,6,3,0.3333333332222222,0,0,0,0,0,0,0,0,29,2014-04,2014,1
54,8375,1968,48,Gen X,Doctorate,Married,55954.0,Middle Income,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,27.263157894736842,19,7,1.1428571426938776,0,0,0,0,0,0,0,0,518,2014-03,2014,0
55,6853,1982,34,Gen Y,Master,Single,75777.0,Upper Middle Income,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,68.47619047619048,21,1,2.9999999969999998,0,0,0,1,1,2,0,1,1438,2013-07,2013,0
56,3076,1975,41,Gen X,Graduation,Together,66653.0,Upper Middle Income,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,27.818181818181817,22,3,1.3333333328888888,0,0,0,0,0,0,0,0,612,2012-09,2012,0
57,1012,1952,64,Baby Boomers,Graduation,Single,61823.0,Upper Middle Income,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,36.833333333333336,24,7,1.1428571426938776,0,0,0,0,0,0,0,0,884,2013-02,2013,0
58,6518,1951,65,Baby Boomers,Doctorate,Widow,67680.0,Upper Middle Income,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,31.894736842105264,19,5,1.3999999997199999,0,0,0,0,0,0,0,0,606,2013-06,2013,0
59,4137,1948,68,Baby Boomers,Graduation,Together,70666.0,Upper Middle Income,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,67.25,16,4,1.7499999995625,0,0,0,0,0,0,0,0,1076,2013-12,2013,0
60,8082,1971,45,Gen X,Graduation,Married,25721.0,Low Income,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,6.8,5,7,0.1428571428367347,0,0,0,0,0,0,0,1,34,2013-05,2013,1
61,1386,1967,49,Gen X,Graduation,Together,32474.0,Middle Income,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,2.75,4,7,0.1428571428367347,0,0,0,0,0,0,0,0,11,2014-05,2014,1
62,9369,1979,37,Gen X,Master,Single,88194.0,Upper Middle Income,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,39.8125,32,5,2.19999999956,1,0,1,0,0,2,0,1,1274,2014-03,2014,0
63,4477,1958,58,Baby Boomers,Graduation,Together,69096.0,Upper Middle Income,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,36.27777777777778,18,4,1.2499999996875,0,0,0,0,0,0,0,0,653,2013-09,2013,0
64,1357,1970,46,Gen X,Graduation,Together,74854.0,Upper Middle Income,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,82.21052631578948,19,5,0.39999999992,0,0,0,0,0,0,0,0,1562,2013-04,2013,0
65,1402,1954,62,Baby Boomers,Master,Married,66991.0,Upper Middle Income,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,59.666666666666664,21,3,1.3333333328888888,0,0,0,0,0,0,0,0,1253,2012-09,2012,0
66,6312,1959,57,Baby Boomers,Graduation,Married,65031.0,Upper Middle Income,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,28.766666666666666,30,7,1.428571428367347,0,0,0,0,0,0,0,0,863,2013-03,2013,0
67,8132,1975,41,Gen X,Doctorate,Married,60631.0,Upper Middle Income,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,27.541666666666668,24,7,1.2857142855306123,0,0,0,1,0,1,0,0,661,2013-04,2013,0
